ID,Severity,Start_Time,End_Time,City,State,Temperature(F),Humidity(%),Visibility(mi),Weather_Condition
A-2281331,2,2019-02-12 21:56:01,2019-02-12 22:25:51,Geyserville,CA,44.1,93.0,5.0,Rain
A-342355,2,2017-03-29 12:29:35,2017-03-29 12:58:29,Santa Clara,CA,70.0,46.0,10.0,Mostly Cloudy
A-3672199,2,2023-03-27 15:13:00,2023-03-27 17:24:51,Hawthorne,CA,74.0,12.0,10.0,Fair
A-5762609,2,2021-08-10 15:46:00,2021-08-10 17:59:17,Bakersfield,CA,103.0,16.0,7.0,Fair
A-5619754,2,2021-12-14 05:07:30,2021-12-14 06:06:00,Anaheim,CA,48.0,,3.0,Rain
A-7536519,4,2018-09-15 02:52:52,2018-09-15 03:22:35,Blue Lake,CA,50.0,100.0,4.0,Cloudy
A-1582316,3,2020-01-08 06:42:30,2020-01-08 07:12:03,Escondido,CA,30.0,82.0,10.0,Partly Cloudy
A-921436,3,2021-08-27 13:55:57,2021-08-27 14:25:35,Sunol,CA,97.0,15.0,3.0,Smoke
A-3203706,3,2017-11-23 02:20:50,2017-11-23 03:05:28,Los Angeles,CA,66.9,42.0,10.0,Clear
A-4520761,2,2023-02-13 02:59:00,2023-02-13 05:22:26,Cerritos,CA,50.0,77.0,10.0,Fair
A-3421169,4,2016-05-17 17:13:20,2016-05-17 23:13:20,San Bernardino,CA,77.0,44.0,6.0,Haze
A-2724500,3,2018-07-25 09:49:37,2018-07-25 10:19:01,San Francisco,CA,61.0,78.0,10.0,Partly Cloudy
A-3533573,2,2016-10-25 18:33:54,2016-10-26 00:33:54,Sherman Oaks,CA,68.0,59.0,10.0,Clear
A-5522652,2,2021-05-21 17:28:04.000000000,2021-05-21 20:13:00.000000000,Los Angeles,CA,67.0,47.0,10.0,Fair
A-2322938,3,2019-01-06 23:26:09,2019-01-06 23:55:44,San Jose,CA,55.0,83.0,10.0,Partly Cloudy
A-3698224,2,2023-03-31 18:46:00,2023-03-31 21:06:59,Cayucos,CA,54.0,69.0,10.0,Fair
A-344775,2,2017-02-21 14:03:13,2017-02-21 15:03:13,Anaheim,CA,69.1,57.0,10.0,Mostly Cloudy
